Classes, Primitive types, Enumerations, Interfaces, Associations, Total, Name, Iteration
9,2,0,0,0,11,0fUML_Library,First Iteration - done
1,3,0,0,0,15,0modelio_blob,First Iteration - done
4,0,0,0,4,23,0modelio_circular_dep_test,First Iteration - done
1,0,2,0,0,26,0modelio_enum_no_attribute_name_test,First Iteration - done
1,0,2,0,0,29,0modelio_enum_no_name_test,First Iteration - done
1,0,2,0,0,32,0modelio_enum_test,First Iteration - done
1,0,0,0,0,33,0modelio_float_double,First Iteration - done
3,0,0,0,1,37,0modelio_no_attribute_name_test,First Iteration - done
3,0,0,0,1,41,0modelio_no_attribute_test,First Iteration - done
3,0,0,0,1,45,0modelio_no_class_name_test,First Iteration - done
1,0,0,0,0,46,0modelio_user_class_test,First Iteration - done
1,0,4,0,0,51,0NIEM-Reference-common-edxl,First Iteration - done
1,0,0,0,0,52,0NIEM-Reference-common-edxl-cap,First Iteration - done
2,0,0,0,1,55,0otherEntityFieldOM,First Iteration - done
2,0,0,4,0,61,16test,First Iteration - done
1,1,0,0,0,63,1modelio_lowercased_string_type,First Iteration - done
1,0,0,0,0,64,1modelio_no_attribute_name_test,First Iteration - done
1,1,0,0,0,66,1modelio_no_validation_name_test,First Iteration - done
1,1,0,0,0,68,1modelio_wrong_typename,First Iteration - done
9,1,0,0,0,78,4fUML_Library,First Iteration - done
9,2,0,0,0,89,5fUML_Library,First Iteration - done
2,0,0,0,0,91,7sample,First Iteration - done
0,1,1,0,0,93,9default-uml22,First Iteration - done
3,0,0,0,0,96,BareBones,First Iteration - done
3,3,1,1,2,106,BIOBANKUML21,First Iteration - done
1,0,0,0,0,107,curso_taller_openerp,First Iteration - done
4,0,3,1,0,115,DemoUnityMas,First Iteration - done
0,33,3,0,0,151,EcorePrimitiveTypes.library,First Iteration - done
3,1,0,0,1,156,etudiant,First Iteration - done
4,0,1,0,0,161,example,First Iteration - done
2,0,0,4,0,167,example3,First Iteration - done
12,0,0,0,1,180,java_sdkexample,First Iteration - done
12,1,3,0,10,206,Mascaret,First Iteration - done
1,1,0,0,0,208,modelio_capitalized_field_names,First Iteration - done
2,0,0,0,1,211,modelio_comments,First Iteration - done
1,0,2,0,0,214,modelio_enum_no_value_test,First Iteration - done
1,0,9,0,0,224,NIEM-Reference-common-apco,First Iteration - done
1,0,5,0,0,230,NIEM-Reference-common-dea,First Iteration - done
1,0,5,0,0,236,NIEM-Reference-common-dod_jcs-pub2.0-misc,First Iteration - done
1,0,7,0,0,244,NIEM-Reference-common-edxl,First Iteration - done
2,0,3,0,0,249,NIEM-Reference-common-edxl-cap,First Iteration - done
2,0,3,0,0,254,NIEM-Reference-common-edxl-de,First Iteration - done
2,0,3,0,0,259,NIEM-Reference-common-edxl-have,First Iteration - done
16,0,3,0,0,278,NIEM-Reference-common-geospatial,First Iteration - done
1,0,27,0,0,306,NIEM-Reference-common-have-codes,First Iteration - done
6,0,4,0,0,316,NIEM-Reference-common-icism,First Iteration - done
1,0,7,0,0,324,NIEM-Reference-common-itis,First Iteration - done
1,0,9,0,0,334,NIEM-Reference-common-mn_offense,First Iteration - done
