Classes, Primitive types, Enumerations, Interfaces, Associations, Total, Name, Iteration
6,0,0,0,6,12,0mappedby_test,Second Iteration - done
9,1,0,0,10,20,0modelio_no_validation_name_test,Second Iteration - done
9,1,0,0,10,20,0modelio_wrong_typename,Second Iteration - done
2,0,0,0,1,3,0otherEntityFieldMM,Second Iteration - done
3,0,0,0,2,5,0user_entity_test,Second Iteration - done
8,1,0,0,10,19,1modelio,Second Iteration - done
9,2,0,0,0,11,2fUML_Library,Second Iteration - done
9,1,0,0,0,10,3fUML_Library,Second Iteration - done
3,0,0,0,3,6,ClockTower,Second Iteration - done
15,0,0,0,17,32,FilRougeUML,Second Iteration - done
1,0,11,0,0,12,NIEM-Reference-common-atf,Second Iteration - done
1,0,7,0,0,8,NIEM-Reference-common-fips_5-2,Second Iteration - done
1,0,5,0,0,6,NIEM-Reference-common-iso_4217,Second Iteration - done
1,0,13,0,0,14,NIEM-Reference-common-ut_offender-tracking-misc,Second Iteration - done
7,0,5,0,5,17,NIEM-Reference-domains-infrastrucuteProtection,Second Iteration - done
3,1,1,0,1,6,testing,Second Iteration - done
5,0,0,0,5,10,XMLSchema,Second Iteration - done
Classes, Primitive types, Enumerations, Interfaces, Associations, Total, Name, Iteration
6,0,0,0,6,12,0mappedby_test,Second Iteration - done
9,1,0,0,10,19,0modelio_no_validation_name_test,Second Iteration - done
9,1,0,0,10,19,0modelio_wrong_typename,Second Iteration - done
2,0,0,0,1,3,0otherEntityFieldMM,Second Iteration - done
3,0,0,0,2,5,0user_entity_test,Second Iteration - done
8,1,0,0,10,18,1modelio,Second Iteration - done
9,2,0,0,0,9,2fUML_Library,Second Iteration - done
9,1,0,0,0,9,3fUML_Library,Second Iteration - done
3,0,0,0,3,6,ClockTower,Second Iteration - done
15,0,0,0,17,32,FilRougeUML,Second Iteration - done
1,0,11,0,0,1,NIEM-Reference-common-atf,Second Iteration - done
1,0,7,0,0,1,NIEM-Reference-common-fips_5-2,Second Iteration - done
1,0,5,0,0,1,NIEM-Reference-common-iso_4217,Second Iteration - done
1,0,13,0,0,1,NIEM-Reference-common-ut_offender-tracking-misc,Second Iteration - done
7,0,5,0,5,12,NIEM-Reference-domains-infrastrucuteProtection,Second Iteration - done
3,1,1,0,1,4,testing,Second Iteration - done
5,0,0,0,5,10,XMLSchema,Second Iteration - done
Classes, Primitive types, Enumerations, Interfaces, Associations, Total, Name, Iteration
6,0,0,0,6,12,0mappedby_test,Second Iteration - done
9,1,0,0,10,19,0modelio_no_validation_name_test,Second Iteration - done
9,1,0,0,10,19,0modelio_wrong_typename,Second Iteration - done
2,0,0,0,1,3,0otherEntityFieldMM,Second Iteration - done
3,0,0,0,2,5,0user_entity_test,Second Iteration - done
8,1,0,0,10,18,1modelio,Second Iteration - done
9,2,0,0,0,9,2fUML_Library,Second Iteration - done
9,1,0,0,0,9,3fUML_Library,Second Iteration - done
3,0,0,0,3,6,ClockTower,Second Iteration - done
15,0,0,0,17,32,FilRougeUML,Second Iteration - done
1,0,11,0,0,1,NIEM-Reference-common-atf,Second Iteration - done
1,0,7,0,0,1,NIEM-Reference-common-fips_5-2,Second Iteration - done
1,0,5,0,0,1,NIEM-Reference-common-iso_4217,Second Iteration - done
1,0,13,0,0,1,NIEM-Reference-common-ut_offender-tracking-misc,Second Iteration - done
7,0,5,0,5,12,NIEM-Reference-domains-infrastrucuteProtection,Second Iteration - done
3,1,1,0,1,4,testing,Second Iteration - done
5,0,0,0,5,10,XMLSchema,Second Iteration - done
Classes, Primitive types, Enumerations, Interfaces, Associations, Total, Name, Iteration
6,0,0,0,6,12,0mappedby_test,Second Iteration - done
9,1,0,0,10,19,0modelio_no_validation_name_test,Second Iteration - done
9,1,0,0,10,19,0modelio_wrong_typename,Second Iteration - done
2,0,0,0,1,3,0otherEntityFieldMM,Second Iteration - done
3,0,0,0,2,5,0user_entity_test,Second Iteration - done
8,1,0,0,10,18,1modelio,Second Iteration - done
9,2,0,0,0,9,2fUML_Library,Second Iteration - done
9,1,0,0,0,9,3fUML_Library,Second Iteration - done
3,0,0,0,3,6,ClockTower,Second Iteration - done
15,0,0,0,17,32,FilRougeUML,Second Iteration - done
1,0,11,0,0,1,NIEM-Reference-common-atf,Second Iteration - done
1,0,7,0,0,1,NIEM-Reference-common-fips_5-2,Second Iteration - done
1,0,5,0,0,1,NIEM-Reference-common-iso_4217,Second Iteration - done
1,0,13,0,0,1,NIEM-Reference-common-ut_offender-tracking-misc,Second Iteration - done
7,0,5,0,5,12,NIEM-Reference-domains-infrastrucuteProtection,Second Iteration - done
3,1,1,0,1,4,testing,Second Iteration - done
5,0,0,0,5,10,XMLSchema,Second Iteration - done
