Classes, Primitive types, Enumerations, Interfaces, Associations, Total, Name, Iteration
9,1,0,0,10,20,0modelio,Third Iteration - failed
32,1,5,0,43,81,1GRAAnnotationModel,Third Iteration - failed
34,0,0,0,54,88,BMMEA,Third Iteration - failed
34,0,0,0,50,84,Book,Third Iteration - failed
31,0,5,0,43,79,GRAAnnotationModel,Third Iteration - failed
2,14,0,25,11,52,jrlib,Third Iteration - failed
Classes, Primitive types, Enumerations, Interfaces, Associations, Total, Name, Iteration
9,1,0,0,10,19,0modelio,Third Iteration - failed
32,1,5,0,43,75,1GRAAnnotationModel,Third Iteration - failed
34,0,0,0,54,88,BMMEA,Third Iteration - failed
34,0,0,0,50,84,Book,Third Iteration - failed
31,0,5,0,43,74,GRAAnnotationModel,Third Iteration - failed
2,14,0,25,11,13,jrlib,Third Iteration - failed
Classes, Primitive types, Enumerations, Interfaces, Associations, Total, Name, Iteration
9,1,0,0,10,19,0modelio,Third Iteration - failed
32,1,5,0,43,75,1GRAAnnotationModel,Third Iteration - failed
34,0,0,0,54,88,BMMEA,Third Iteration - failed
34,0,0,0,50,84,Book,Third Iteration - failed
31,0,5,0,43,74,GRAAnnotationModel,Third Iteration - failed
2,14,0,25,11,13,jrlib,Third Iteration - failed
Classes, Primitive types, Enumerations, Interfaces, Associations, Total, Name, Iteration
9,1,0,0,10,19,0modelio,Third Iteration - failed
32,1,5,0,43,75,1GRAAnnotationModel,Third Iteration - failed
34,0,0,0,54,88,BMMEA,Third Iteration - failed
34,0,0,0,50,84,Book,Third Iteration - failed
31,0,5,0,43,74,GRAAnnotationModel,Third Iteration - failed
2,14,0,25,11,13,jrlib,Third Iteration - failed
